acronym	ontology_name	acceptance_score	match_count	coverage	names	class_counts	number_of_releases	first_release_year	last_release_year	overlap
CHEAR	Children's Health Exposure Analysis Resource	0.0	14	0.0275049115913556	household income#energy#socioeconomic status#radiation exposure#eating behaviour#chemical exposure#video games#alcohol use#sleep#social context#dream#calorie#education#oral health	14845	15	2017	2019	0.0009430784776018862
PMA	Portfolio Management Application	0.0	13	0.025540275049115914	radiation#vitamin#income#sleep#tobacco#social environment#social context#cooking method#economic factors#employment#education#nutrition#smoking	2084	3	2010	2010	0.006238003838771593
MEDEON	Medical Error Ontology	0.0	1	0.0019646365422396855	nutrition	71	1	2016	2016	0.0
MELLO-D	MEdical LifeLog Ontology for people with Disability	0.0	4	0.007858546168958742	sports#workout#nutrition#meditation	0	5	2023	2023	0.0
ICPS	International Classification for Patient Safety	0.0	2	0.003929273084479371	education#nutrition	398	5	2010	2010	0.0
PSO_2	PatientSafetyOntologyRevisted	0.0	1	0.0019646365422396855	nutrition	291	3	2020	2020	0.0
AURA	KB_Bio_101	0.0	10	0.019646365422396856	energy#diet#radiation#vitamin#macronutrient#food#sleep#micronutrient#phytochemical#nutrition	27396	1	2014	2014	0.00036501679077237555
PSO	PatientSafetyOntology	0.0	1	0.0019646365422396855	nutrition	567	2	2017	2017	0.0
MHMO	Mental Health Management Ontology	0.0	3	0.005893909626719057	psychotherapy#nutrition#smoking	373	9	2019	2019	0.0
ZONMW-CONTENT	ZonMW COVID-19	0.0	3	0.005893909626719057	education#nutrition#neighbourhood	2	37	2021	2022	0.0
PARTUMDO	postpartum depression ontology	0.0	5	0.009823182711198428	sleep#education#nutrition#malnutrition#smoking	734	1	2021	2021	0.006811989100817439
AO	Asthma Ontology	0.0	3	0.005893909626719057	food#occupational exposure#nutrition	289	2	2016	2016	0.0
SHR	Student Health Record Ontology	0.0	1	0.0019646365422396855	nutrition	295	3	2011	2011	0.0
PEDTERM	Pediatric Terminology	0.0	2	0.003929273084479371	sleep#nutrition	1771	4	2011	2013	0.0
PESONT	Preposition_enabled Spatial Ontology	0.0	1	0.0019646365422396855	nutrition	160	1	2021	2021	0.0
ONTRISCAL	Ontology of Risk Stratification in Mental Health	0.0	3	0.005893909626719057	sleep#tobacco#nutrition	0	1	2023	2023	0.0
EMIF-AD	EMIF-AD ontology	0.0	8	0.015717092337917484	employment status#vegetables#income#alcohol use#sleep#nutrition#physical activity#smoking	700	3	2020	2020	0.011428571428571429
RCD	Read Codes, Clinical Terms Version 3 (CTV3) 	0.5	28	0.0550098231827112	alcohol consumption#calorie#employment status#sweets#psychotherapy#sleep#fluid intake#dioxin#illicit drug use#nutrition#malnutrition#smoking#household income#energy#physical environment#radiation#housework#sports#processed food#food#pet ownership#tobacco#phytochemical#vitamin#food additive#urban environment#vitamin intake#occupational activity	140065	22	2013	2023	0.00019990718594938066
EDAM	EDAM - Bioscientific data analysis ontology	0.0	1	0.0019646365422396855	nutrition	3502	37	2010	2023	0.0
ITO	Intelligence Task Ontology	0.0	1	0.0019646365422396855	nutrition	16283	17	2020	2022	0.0
NEOMARK4	Neomark Oral Cancer Ontology, version 4	0.0	3	0.005893909626719057	ionizing radiation#eating habits#tobacco	325	1	2011	2011	0.0
GAZ	Gazetteer	0.0	2	0.003929273084479371	dieting#wage	668838	14	2009	2014	0.0
EUPATH	VEuPathDB Ontology	0.0	8	0.015717092337917484	diet#employment status#bedtime#education level#drug usage#socioeconomic factors#employment#malnutrition	5110	19	2017	2023	0.0015655577299412916
PMR	Physical Medicine and Rehabilitation	0.0	4	0.007858546168958742	sports#diet#education#psychotherapy	1597	4	2012	2017	0.0
ZECO	Zebrafish Experimental Conditions Ontology	0.0	4	0.007858546168958742	fat content#radiation#diet#electromagnetic radiation	161	10	2016	2022	0.0
EXO	Exposure Ontology	0.0	8	0.015717092337917484	socioeconomic status#diet#socioeconomic factors#alcohol consumption#tobacco use#alcohol use#education#physical activity	152	11	2015	2022	0.05263157894736842
CRENO	Culture, Race, Ethnicity and Nationality Ontology	0.0	8	0.015717092337917484	radiation#diet#slavery#meditation#education#salary#tobacco#housing	1106	1	2023	2023	0.007233273056057866
CMDO	Clinical MetaData Ontology	0.0	3	0.005893909626719057	diet#education#psychotherapy	188	10	2019	2019	0.0
SOPHARM	Suggested Ontology for Pharmacogenomics	0.0	1	0.0019646365422396855	diet	117	13	2007	2017	0.0
FISHO	Fish Ontology	0.0	1	0.0019646365422396855	diet	386	1	2017	2017	0.0
CDPEO	Chronic Disease Patient Education Ontology	0.0	3	0.005893909626719057	diet#education#smoking	40	1	2019	2019	0.0
SCHEMA	Schema.org core and all extension vocabularies	0.0	3	0.005893909626719057	energy#videogame#diet	822	4	2014	2018	0.0
ENVTHES	Thesaurus for long-term ecological research, monitoring, experiments	0.0	10	0.019646365422396856	environmental risk factors#energy#environmental hazards#diet#pesticide residues#urban area#environmental risk#food#electromagnetic radiation#environmental quality	3	31	2022	2023	0.0
COID	Combined Ontology for Inflammatory Diseases	0.0	3	0.005893909626719057	ionizing radiation#radiation#diet	1185	1	2022	2022	0.0
FNS-H	FNS-Harmony	0.0	3	0.005893909626719057	beverages#diet#tobacco	31464	2	2022	2023	0.0
HL7	Health Level Seven Reference Implementation Model, Version 3	0.0	8	0.015717092337917484	diet#drug use#vitamin#education level#income#meditation#food#occupational activity	9083	22	2010	2023	0.0008807662666519872
ONS	Ontology for Nutritional Studies	0.0	5	0.009823182711198428	diet#processed food#food#dietary carbohydrate#physical activity	6056	35	2017	2023	0.0008256274768824307
MIDO	Medical Imaging and Diagnostic Ontology	0.0	6	0.011787819253438114	diet#physical exercise#activity level#aerobic exercise#calorie#physical activity	51838	1	2022	2022	0.00011574520621937575
ICW	International Classification of Wellness	0.0	1	0.0019646365422396855	diet	121	4	2016	2017	0.0
FOODON	The FoodOn Food Ontology	0.0	8	0.015717092337917484	energy#diet#food additive#eating behavior#dietary fibre#sweets#food packaging#food	35305	97	2017	2023	0.0002265967993202096
BCLION	Breast Cancer Lifestyle Ontology	0.0	3	0.005893909626719057	meditation#diet#smoking	30	1	2024	2024	0.0
EFO	Experimental Factor Ontology	0.0	26	0.05108055009823183	diet#heavy metal poisoning#radiation exposure#physical activities#alcohol consumption#sleep quality#sleep depth#micronutrient#xenobiotics#employment status#sleep#sleep time#dioxin#sleep duration#CBT#physical activity#malnutrition#smoking#household income#heavy metal toxicity#eating behaviour#gambling#tobacco#caloric intake#vitamin#drug usage	51936	256	2008	2024	0.0005006161429451633
XCO	Experimental Conditions Ontology	0.0	9	0.01768172888015717	diet#radiation exposure#housing condition#non-ionizing radiation exposure#vitamin#tobacco use#sleep#toxic chemical#physical activity	1252	164	2011	2024	0.00718849840255591
ONTOPARON	Ontology of Amyotrophic Lateral Sclerosis, all modules	0.0	7	0.0137524557956778	diet#housework#vitamin#socializing#social context#caloric intake#malnutrition	2464	9	2018	2020	0.002840909090909091
BIODIVTHES	Biodiversity Thesaurus	0.0	6	0.011787819253438114	xenobiotics#diet#eating behavior#environmental condition#radioactive contamination#environmental quality	4	1	2023	2023	0.0
BAO	BioAssay Ontology	0.0	4	0.007858546168958742	food#macronutrient#food additive#micronutrient	7772	49	2010	2023	0.0
CIDO	Coronavirus Infectious Disease Ontology	0.0	9	0.01768172888015717	xenobiotics#vitamin#macronutrient#eating behavior#food additive#eating behaviour#toxic agent#micronutrient#malnutrition	31620	41	2020	2023	0.0002846299810246679
NMDCO	NMDC Ontology	0.0	12	0.023575638506876228	energy#radiation#ionizing radiation#leisure#urban area#macronutrient#eating behavior#food additive#environmental condition#food#micronutrient#electromagnetic radiation	7766	4	2021	2021	0.001545197012619109
PORO	Porifera Ontology	0.0	3	0.005893909626719057	smoking#macronutrient#food additive	896	9	2013	2021	0.0
CHIRO	CHEBI Integrated Role Ontology	0.0	7	0.0137524557956778	xenobiotics#vitamin#macronutrient#food additive#food#toxic agent#micronutrient	13286	1	2015	2015	0.0005268703898840885
BIOMODELS	BioModels Ontology	0.0	8	0.015717092337917484	energy#radiation exposure#vitamin#macronutrient#eating behavior#food#sleep#micronutrient	187520	1	2012	2012	4.266211604095563e-05
AISM	Ontology for the Anatomy of the Insect SkeletoMuscular system	0.0	4	0.007858546168958742	macronutrient#toxic agent#food additive#micronutrient	7443	6	2021	2023	0.0
